cuisine,dish_name,ingredients,cooking_time_min,spice_level,calories
Greek,Baguette,"Eggplant, Potatoes, Cheese",68,1,675
Thai,Injera,"Corn, Meat, Chili",72,2,554
Korean,Kebab,"Spices, Rice, Vegetables",101,1,331
Korean,Dumpling,"Broth, Rice Noodles, Beef",65,0,388
Thai,Bibimbap,"Spices, Rice, Vegetables",164,3,312
Japanese,Injera,"Corn, Meat, Chili",169,4,357
Turkish,Moussaka,"Spices, Meat, Vegetables",120,5,629
Brazilian,Feijoada,"Lamb, Spices, Yogurt",146,4,786
Greek,Moussaka,"Eggplant, Potatoes, Cheese",77,0,328
Mexican,Hummus,"Eggplant, Potatoes, Cheese",55,2,325
Japanese,Taco,"Dough, Pork, Cabbage",76,0,695
Mexican,Feijoada,"Spices, Rice, Vegetables",163,4,902
Thai,Feijoada,"Rice, Fish, Seaweed",145,4,534
Lebanese,Paella,"Rice, Fish, Seaweed",15,5,981
Japanese,Injera,"Broth, Rice Noodles, Beef",33,7,857
Chinese,Feijoada,"Tomatoes, Cheese, Olive Oil",103,9,501
Mexican,Sushi,"Chickpeas, Olive Oil, Tahini",22,0,721
Turkish,Moussaka,"Corn, Meat, Chili",34,3,865
Spanish,Baguette,"Spices, Rice, Vegetables",157,9,187
Chinese,Baguette,"Broth, Rice Noodles, Beef",127,0,683
Moroccan,Sushi,"Rice, Fish, Seaweed",91,8,992
Spanish,Pizza,"Broth, Rice Noodles, Beef",120,6,641
Thai,Curry,"Broth, Rice Noodles, Beef",91,6,783
Greek,Injera,"Rice, Fish, Seaweed",75,4,408
Vietnamese,Hummus,"Spices, Meat, Vegetables",54,6,442
Turkish,Bibimbap,"Lamb, Spices, Yogurt",123,1,535
Vietnamese,Bibimbap,"Rice, Vegetables, Egg",72,3,276
Japanese,Dumpling,"Spices, Meat, Vegetables",85,6,238
Thai,Taco,"Chickpeas, Olive Oil, Tahini",123,2,293
Spanish,Pho,"Eggplant, Potatoes, Cheese",120,1,285
Korean,Feijoada,"Corn, Meat, Chili",156,9,317
Brazilian,Pizza,"Eggplant, Potatoes, Cheese",44,1,263
Moroccan,Hummus,"Eggplant, Potatoes, Cheese",62,0,260
Brazilian,Pizza,"Spices, Rice, Vegetables",35,4,624
Turkish,Curry,"Dough, Pork, Cabbage",23,5,907
Japanese,Feijoada,"Lamb, Spices, Yogurt",127,5,700
Indian,Pizza,"Flour, Butter, Yeast",54,8,935
Japanese,Hummus,"Lamb, Spices, Yogurt",60,3,141
Italian,Kebab,"Rice Noodles, Peanuts, Tofu",128,0,309
Italian,Hummus,"Broth, Rice Noodles, Beef",160,5,840
French,Hummus,"Rice, Fish, Seaweed",28,4,961
Italian,Tagine,"Rice Noodles, Peanuts, Tofu",91,9,374
Brazilian,Pizza,"Chickpeas, Olive Oil, Tahini",85,5,378
Turkish,Pho,"Beans, Rice, Pork",101,2,350
Ethiopian,Kebab,"Lamb, Spices, Yogurt",42,1,409
Lebanese,Hummus,"Spices, Rice, Vegetables",156,5,819
Thai,Pizza,"Spices, Rice, Vegetables",37,0,932
Indian,Feijoada,"Broth, Rice Noodles, Beef",132,6,239
Japanese,Moussaka,"Lamb, Spices, Yogurt",135,6,891
Greek,Injera,"Rice, Vegetables, Egg",46,9,645
Lebanese,Kebab,"Lamb, Spices, Yogurt",163,6,920
Turkish,Injera,"Rice Noodles, Peanuts, Tofu",108,9,629
Turkish,Pizza,"Chickpeas, Olive Oil, Tahini",107,0,156
Thai,Tagine,"Spices, Meat, Vegetables",136,3,211
Italian,Pho,"Spices, Rice, Vegetables",177,6,104
Spanish,Kebab,"Lamb, Spices, Yogurt",89,8,509
Lebanese,Paella,"Rice, Vegetables, Egg",47,4,513
Vietnamese,Curry,"Rice Noodles, Peanuts, Tofu",86,1,281
Italian,Paella,"Flour, Butter, Yeast",135,6,112
Italian,Moussaka,"Rice, Fish, Seaweed",96,9,438
Italian,Injera,"Eggplant, Potatoes, Cheese",63,0,896
Vietnamese,Pizza,"Beans, Rice, Pork",159,6,358
Moroccan,Taco,"Rice, Saffron, Seafood",25,5,189
Korean,Curry,"Broth, Rice Noodles, Beef",37,6,715
Greek,Paella,"Teff Flour, Vegetables, Lentils",172,9,990
Korean,Sushi,"Dough, Pork, Cabbage",55,2,797
Indian,Curry,"Spices, Meat, Vegetables",81,2,349
Moroccan,Kebab,"Lamb, Spices, Yogurt",94,6,354
Spanish,Hummus,"Rice Noodles, Peanuts, Tofu",35,1,687
Chinese,Taco,"Rice, Saffron, Seafood",94,0,997
